severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2024-01-04T14:39:26+0000		13.0	danko@etf.rs	java:S116	com.zuehlke:secure-software-development	2min	"Rename this field ""LOG"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."	2024-01-01T21:35:29+0000	CODE_SMELL	"convention / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/AuditLogger.java		MAIN	{startLine=13.0, endLine=13.0, startOffset=25.0, endOffset=28.0}	2min	AYzU6mLocFHSrU_6zLVv	c623824ddadfcf4ee39876a18f32e6f0	OPEN
BLOCKER	2024-01-04T14:39:26+0000		25.0	danko@etf.rs	java:S1845	com.zuehlke:secure-software-development	10min	"Rename method ""audit"" to prevent any misunderstanding/clash with field ""AUDIT"" defined on line 12."	2024-01-01T21:35:29+0000	CODE_SMELL	"confusing / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/AuditLogger.java		MAIN	{startLine=25.0, endLine=25.0, startOffset=16.0, endOffset=21.0}	10min	AYzU6mLocFHSrU_6zLVw	1ae1c179aa2b8c1527509902d1939456	OPEN
MAJOR	2024-01-04T14:39:26+0000		26.0	danko@etf.rs	java:S1117	com.zuehlke:secure-software-development	5min	"Rename ""id"" which hides the field declared at line 14."	2024-01-01T21:35:29+0000	CODE_SMELL	"cert / pitfall / suspicious / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/AuditLogger.java		MAIN	{startLine=26.0, endLine=26.0, startOffset=16.0, endOffset=18.0}	5min	AYzU6mLocFHSrU_6zLVx	552b57e24fd93dc4e4934af71663c0f7	OPEN
CRITICAL	2024-01-04T14:39:26+0000		21.0	danko@etf.rs	java:S1186	com.zuehlke:secure-software-development	5min	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.	2024-01-01T21:35:29+0000	CODE_SMELL	"suspicious / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/CorsFilter.java		MAIN	{startLine=21.0, endLine=21.0, startOffset=16.0, endOffset=23.0}	5min	AYzU6mMHcFHSrU_6zLV5	5154420123cc713469f0df4f3e354c08	OPEN
MAJOR	2024-01-04T14:39:26+0000		21.0	danko@etf.rs	java:S1161	com.zuehlke:secure-software-development	5min	"Add the ""@Override"" annotation above this method signature"	2024-01-01T21:35:29+0000	CODE_SMELL	"bad-practice / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/CorsFilter.java		MAIN	{startLine=21.0, endLine=21.0, startOffset=16.0, endOffset=23.0}	5min	AYzU6mMHcFHSrU_6zLV7	5154420123cc713469f0df4f3e354c08	OPEN
CRITICAL	2024-01-04T14:39:26+0000		53.0	danko@etf.rs	java:S1186	com.zuehlke:secure-software-development	5min	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.	2024-01-01T21:35:29+0000	CODE_SMELL	"suspicious / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/CorsFilter.java		MAIN	{startLine=53.0, endLine=53.0, startOffset=16.0, endOffset=20.0}	5min	AYzU6mMHcFHSrU_6zLV6	e5fdd9c636f8e20f2a1b748714388b25	OPEN
MAJOR	2024-01-04T14:39:26+0000		53.0	danko@etf.rs	java:S1161	com.zuehlke:secure-software-development	5min	"Add the ""@Override"" annotation above this method signature"	2024-01-01T21:35:29+0000	CODE_SMELL	"bad-practice / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/CorsFilter.java		MAIN	{startLine=53.0, endLine=53.0, startOffset=16.0, endOffset=20.0}	5min	AYzU6mMHcFHSrU_6zLV8	e5fdd9c636f8e20f2a1b748714388b25	OPEN
MAJOR	2024-01-04T14:39:26+0000		39.0	danko@etf.rs	java:S1854	com.zuehlke:secure-software-development	15min	"Remove this useless assignment to local variable ""totp""."	2024-01-01T21:35:29+0000	CODE_SMELL	"cert / cwe / unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/DatabaseAuthenticationProvider.java		MAIN	{startLine=39.0, endLine=39.0, startOffset=21.0, endOffset=96.0}	15min	AYzU6mL_cFHSrU_6zLV3	3abe3e61cfb7b311c9b7b96ff492ae2f	OPEN
MINOR	2024-01-04T14:39:26+0000		39.0	danko@etf.rs	java:S1481	com.zuehlke:secure-software-development	5min	"Remove this unused ""totp"" local variable."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/DatabaseAuthenticationProvider.java		MAIN	{startLine=39.0, endLine=39.0, startOffset=16.0, endOffset=20.0}	5min	AYzU6mL_cFHSrU_6zLV4	3abe3e61cfb7b311c9b7b96ff492ae2f	OPEN
MAJOR	2024-01-04T14:39:26+0000		17.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""userDetailsService"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityConfig.java		MAIN	{startLine=17.0, endLine=17.0, startOffset=41.0, endOffset=59.0}	5min	AYzU6mLvcFHSrU_6zLV0	3039b8f74d99976a8d78cf976ba9092c	OPEN
CRITICAL	2024-01-04T14:39:26+0000		29.0	danko@etf.rs	java:S1192	com.zuehlke:secure-software-development	8min	"Define a constant instead of duplicating this literal ""/login"" 3 times."	2024-01-01T21:35:29+0000	CODE_SMELL	"design / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityConfig.java	"{locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityConfig.java, textRange={startLine=29.0, endLine=29.0, startOffset=29.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityConfig.java, textRange={startLine=34.0, endLine=34.0, startOffset=27.0, endOffset=35.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityConfig.java, textRange={startLine=40.0, endLine=40.0, startOffset=34.0, endOffset=42.0}, msg=Duplication}]} / "	MAIN	{startLine=29.0, endLine=29.0, startOffset=29.0, endOffset=37.0}	8min	AYzU6mLvcFHSrU_6zLVy	7b86812a8b979d936183434642f5e41b	OPEN
MAJOR	2024-01-04T14:39:26+0000		11.0	danko@etf.rs	java:S1118	com.zuehlke:secure-software-development	5min	Add a private constructor to hide the implicit public one.	2024-01-01T21:35:29+0000	CODE_SMELL	"design / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityUtil.java		MAIN	{startLine=11.0, endLine=11.0, startOffset=13.0, endOffset=25.0}	5min	AYzU6mL5cFHSrU_6zLV2	8d0b37463d67a1aaf28a6af234a01186	OPEN
